trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9950041652780257}",25,0,-227.11670207322396,"{0: 10, 1: 0, 2: 12, 3: 0, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.9800665778412416}",30,21,-5.253561617432787,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.955336489125606}",20,6,-103.56790182405396,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 2}",1
4,False,"{'a': 0.8, 'e': 0.9210609940028851}",20,0,-138.89423001668294,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.8, 'e': 0.8775825618903728}",20,0,-98.83768694414836,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.8253356149096782}",30,0,-235.87600706007433,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.8, 'e': 0.7648421872844884}",25,0,-112.58268854902943,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.6967067093471655}",20,0,-82.8791721117851,"{0: 11, 1: 5, 2: 1, 3: 3, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.6216099682706645}",20,0,-158.22601267276656,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.5403023058681398}",25,0,-62.25651964629597,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.4535961214255773}",35,0,-62.01619290604309,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.3623577544766734}",20,10,-1.9638811636815836,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.26749882862458735}",20,0,-97.87280897476802,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.16996714290024081}",20,0,-45.67145693117041,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.0707372016677029}",25,0,-63.6574051379544,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': -0.029199522301288815}",20,0,-4.2144643920552625,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.8, 'e': -0.12884449429552486}",20,0,-36.504720638151305,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': -0.2272020946930871}",20,1,10.64406101520828,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': -0.3232895668635036}",25,4,-50.809401687841195,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.8, 'e': -0.4161468365471424}",30,19,14.840059523575256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,7,-19.607812787509058,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,18,8.07691605016143,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,24.787716747296997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,10,30.344762693836913,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,-96.32517249848786,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,0,-5.371715722480735,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,40.668469853857154,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,19.836241042980543,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,-10.675261380151133,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,3,-47.00764199489783,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 2}",1
