trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9999875000260416}",20,0,-137.17564309522498,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.9999500004166653}",30,0,-95.84349659023687,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.9998875021093592}",25,0,-78.55462276365238,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9998000066665778}",20,0,-71.78383385731054,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9996875162757026}",20,0,-172.72840562021753,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.9995500337489875}",25,6,-137.04149817825234,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 2}",1
7,False,"{'a': 0.8, 'e': 0.9993875625234886}",25,9,-85.32465804028762,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 1}",1
8,False,"{'a': 0.8, 'e': 0.9992001066609779}",20,0,-173.9051181520947,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.9989876708478425}",25,0,-162.84853566686957,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.8, 'e': 0.9987502603949663}",20,0,-62.53219401038334,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.9984878812375985}",25,0,-125.96817355133783,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9982005399352042}",20,0,-92.83361906789273,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.9978882436713011}",25,0,-84.71049834956966,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.9975510002532796}",25,0,-115.15782799518811,"{0: 15, 1: 1, 2: 5, 3: 4, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.9971888181122075}",25,0,-77.96735553793181,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.9968017063026194}",30,0,-167.43226106100585,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 4}",0
17,False,"{'a': 0.8, 'e': 0.9963896745022904}",25,0,-115.92447227792863,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.9959527330119943}",20,0,-96.4027222135691,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.9954908927552453}",20,0,-111.18523711023077,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.9950041652780257}",20,0,-207.44011744862456,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
21,False,"{'a': 0.8, 'e': 0.9944925627484974}",20,0,-162.13245970874095,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0.8, 'e': 0.9939560979566968}",20,0,-69.20178326701873,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.9933947843142158}",25,0,-81.19196790030024,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.9928086358538663}",25,0,-223.49213859787181,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
25,False,"{'a': 0.8, 'e': 0.992197667229329}",30,0,-257.7252408977985,"{0: 15, 1: 3, 2: 4, 3: 5, 4: 3}",0
26,False,"{'a': 0.8, 'e': 0.9915618937147881}",25,0,-99.71350281711076,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
